Fonds ITIE - 4300;BoŒte;Dossier;Pochette;Sous-pochette;Nombre d'UM;Cotation des UM;Dates des UM;Cahiers;Foliation;"Dimensions 
(L x l x h en cm)";Remarques;D‚chirures (strappi) (0-3);Froissures (spiegazzato) (0-3);Lacunes (0-3);Plis (1-3);Perte de souplesse (0-3);Perte de matiŠre (0-3);PoussiŠre depos‚ (0-3);Affaiblessement (0-3);Foxing (0-3);Jaunissement (0-3);Taches (0-3);Degradation due … l'encre (0-3);Mouillure (umidit…) (0-3);Moisissure (0-3);Trou d'insect (0-3);Risque (1-5);;
;;;;;;Ms 4300/31/9/3;1635 31 Juillet;;2;26,2 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/10;1634 1er Juillet;;2;25,5 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/11;164 Juillet 14;;2;33,2 x 22,2;Cachets de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/12;1634 8 aout;;1;12 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/13;1634 15 aout;;1;19,1 x 13,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/14;1634 25 aout;;1;25,1 x 17,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/15;1634 4 7bre;;1;25,2 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/16;1634 13 7bre;;2;25,5 x 17,6;Lacunes, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/17/1;1634 18 7bre;;1;12 x 18,3;Cordelette de parchemin (avant), feuillet en parchemin, cachet de cire dans un papier;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/17/2;1634 22 7bre;;2;25,3 x 18,5;Cordelette de parchemin (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/18;1634 nov.14;;1;25,3 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/19/1;1634 29 xbre;;4;25,5 x 20,2;Cordelette bicolore (avant), tƒches violettes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/19/2;1636 29 7bre;;10;25,7 x 20,2;Cordelette bicolore (avant), tƒches violettes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/20;1635 4 Janv;;2;26 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/21/1;1635 1er mars;;2;29 x 18,3;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/21/2;1635 9 mars;;2;29,8 x 18,7;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/22;1635_23 mars;;6;25,4 x 19,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/23;1635 12 avril;;4;26 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/24;1635 17 mai;;1;23 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/25/1;1635 4 juin;;2;26 x 18,5;Ficelle rose (avant), d‚chirures et lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/25/2;1635 18 juin;;1;26 x 18,8;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/25/3;1635 19 juin;;1;26 x 19;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/25/4;1635 25 juin;;1;26 x 19,1;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/25/5;1635 12 juillet;;1;26 x 18,8;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/26;1635 15 juin;;2;26,8 x 19;Lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/27;1635 juin;;1;25,5 x 18,5;Lacunes, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/28;1635 19 Juillet;;2;26,3 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/29;1635 5 Juillet;;1;24,3 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/1;1635 12 aout;;1;24,7 x 18;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/2;1636;;4;25 x 19,4;Ficelle (avant), cordelette de parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/3;1637 11 fevr;;2;24 x 18,3;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/4;1637 17 fevr;;1;24,2 x 18;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/5;1637 28 mars;;2;24,7 x 18,3;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/6;1637 22 mai;;1;25,8 x 18,7;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/7;sans date;;1;25,7 x 18,5;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/8;sans date;;1;26 x 18,5;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/9;sans date;;1;26 x 18,5;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/10;1637 20 juin;;1;24,8 x 18,4;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/11;1637 1er juillet;;2;24,1 x 18,2;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/12;1637 4 juillet;;1;24,3 x 18;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/30/13;1637 27 Juillet;;1;24 x 18;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/31;1635 Decembre 11;;1;28,3 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/32;1635 ?;;1;27,7 x 20,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/33;1635;;2;25,3 x 17,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/34;1636 8 Janv;;1;12 x 32,2;Parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/35;1636 janv 10;;2;25 x 18,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/36;1636 10 Janv;;1;19,8 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/37;1636 22 fevr;;8;24 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/38;1636 23 fevr;;2;26,3 x 18,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/39;1636 8 avril;;1;25,8 x 18,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/40;1636 26 avril;;2;25,5 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/41;1636 18 mai;;2;25,7 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/42;1636 27 mai;;4;26,5 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/43;1636 28 mai;;4;29 x 20,2;Aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/44;1636 4 Juin;;2;25,4 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/45;1636 juin 30;;1;10,9 x 20,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/46;1636 30 juin;;2;25,4 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/47;1636 1er Juillet;;1;25,4 x 19;Lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/48;1636 20 juillet;;4;25,2 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/49;1636_26 õJuillet;;8;25,7 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/50;4 aout 1636;;1;11 x 26,8;Parchemin, cachet de cire rouge accroch‚ dans un papier;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/51;1636 31 aout;;4;27 x 18,4;D‚chirure importante feuillet 3;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/52;1636 2 7bre;;2;23,9 x 18,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/53;1636 4 7bre;;2;26,2 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/54;1636 23 7bre;;22;32,7 x 21,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/55;1636 octobre 3;;1;25,4 x 19,8;Lacunes, cachets de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/56;1636_7 octobre;;8;25,5 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/57;1636 21 9bre;;2;28,8 x 19,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/58;vers 1636;;2;31 x 19,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/59;1636;;1;25,2 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;1637-38;91;Ms 4300/31/60;1637 4 fevr;;4;24,4 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/61;1637 11 fevr;;1;20,3 x 32,5;Parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/62;1637 11 fevr;;2;24,7 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/63;1637.28 fevr;;4;24,7 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/64;1637 1er mars;;4;27,3 x 20,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/65;1637 7 mars;;2;24,5 x 17,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/66;1637 9 mars;;2;24,5 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/67;1637 6 avril;;4;25,2 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/68;1637 6 avril;;1;16,6 x 33,1;Parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/69;1637 avril 13;;2;25,3 x 18,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/70;1637 avril 29;;3;33,3 x 22,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/71;1637 mai 13;;1;27,1 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/72;1637.20 mai;;2;25,5 x 18,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/73;1637_Mai;;2;31,2 x 19,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/74;1637 9 Juin;;4;25,5 x 19,5;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/75;1637 13 juin;;4;24,3 x 18,2;Aspect cotonneux, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/76;1637 11 aout;;2;27,8 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/77;1637 17 aout ?;;2;25,4 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/78;1637 17 aout;;2;27,4 x 20,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/79;1637 19 aout;;2;25,4 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/80;1637 26 aout;;2;25,4 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/81;1637_31 aout;;3;25,6 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/82;1637 6.7bre;;1;24,9 x 17,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/83;1637 13 7bre;;4;24,9 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/84;1637 8 8bre;;4;25,4 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/85;1637 14 8bre;;2;25,3 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/86/1;1637 28 8bre;;1;18,1 x 12,6;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/86/2;1638;;1;19,8 x 13,2;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/86/3;30 sept 1638;;1;11,4 x 16,2;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/86/4;10 fev 1639;;1;13,2 x 16,8;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/86/5;27 aout 1641;;1;12,3 x 18,3;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/86/6;1647 4 fevr;;1;11,8 x 18;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/87;1637 22 9bre;;2;29,4 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/88;1637.2 xbre;;2;25 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/89;1637 3 xbre;;2;25 x 18,3;Aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/90;1637 11 xbre;;2;24,7 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/91;1637 15 xbre;;2;27,8 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/92;1637 15 xbre;;2;25,2 x 18,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/93;1637 19 xbre;;2;26 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/94;vers 1637;;4;25,5 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/95;1637;;2;25,4 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/96;1637 ?;;1;25,3 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/97;vers 1637;;6;25,4 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/98;7 Janv 1638;;10;24,3 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/99;1638 11 janv;;1;28,9 x 22,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/100;1638 12 Janv;;2;25,1 x 18,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/101;1638_14 Janvier;;20;25,3 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/102;1638.19 janv;;2;25,3 x 17,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/103;1638 26 janv;;1;25,2 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/104;1638 7 fevr;;2;25,5 x 18,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/105/1;1638 4 mars;;2;25,5 x 18,8;Cordelette rose (avant), aur‚oles, lacunes, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/105/2;1638 6 mars;;2;26 x 18,5;Cordelette rose (avant), aur‚oles, lacunes, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/105/3;1639 20 mars;;2;26 x 18,8;Cordelette rose (avant), aur‚oles, lacunes, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/106;1638 6 mars;;2;25,2 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/107;1638 6 mars;;1;23,8 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/108;1638 8 mars;;1;25,1 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/109;1638 18 mars;;2;25,7 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/110;1638_27 mars;;40;25,5 x 18,5 x 0,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/111;1638_3 avril;;36;25,5 x 18,4 x 0,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/112/1;1638 8 avril;;2;25 x 18,2;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/112/2;1646 23 juin;;2;25,4 x 17,9;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/112/3;1657 27 fevr;;2;19 x 13,8;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/112/4;1661 11 aout;;2;25 x 18,2;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/113;1638_avril;;2;24,1 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/114;1638 16 avril;;24;25,7 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/115;1638 19 avril;;4;24,6 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/116;1638 mai 21;;2;29,2 x 21;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/117;1638 23 mai;;1;12,2 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/118;1638 1er juin;;2;25 x 17,8;Aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/119;1638 14 Juin;;2;24,2 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/120;1638 21 Juin;;1;21,1 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/121;1638 juin 30;;4;25,8 x 18;Lacunes importantes feuillets 3 et 4, tƒches;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/122;1638 3 juillet;;10;24,5 x 17,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/123;1638 12 juillet;;2;25,4 x 17,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/124/1;1638 21 juillet;;12;24,3 x 18,5;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/124/2;1638 22 juillet;;2;25,6 x 18,5;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/125;1638 juillet 27;;1;25,5 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/126;1638 aout 6;;2;24,3 x 18,2;Cachets de cire rouge et ficelle ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/127;1638 15 aout;;2;34 x 21,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/128;1638 20 aout;;8;26,4 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/129;1638 aout 23;;1;25,5 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/130;1638 28 aout;;1;14 x 21,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/131;1638 27 7bre;;2;25,3 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/132;1638 nov.11;;2;25 x 19,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/133;1638 14 9bre;;1;25,4 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/134/1;1638 16 9bre;;3;25,4 x 17,9;Cordelette rose (avant), feuillet 1 en parchemin,  lien en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/134/2;1639 16 Janv;;1;24,8 x 18,2;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/134/3;1639 22 Janv;;1;26 x 18,5;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/134/4;1639 29 Janv;;1;24,8 x 18,1;Cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/135;vers 1638;;2;25,3 x 17,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/136;1638;;8;29,9 x 19,5;Lacunes, aspect cotonneux;;;;;;;;;;;;;;;;;;
;4300/32       1639 … 1641;;1639;;73;Ms 4300/32/1;1639 Janv.28;;2;25,1 x 18,3;Lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/2;1639 11 fevr;;4;25,4 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/3;1639 14 fevr;;2;32,4 x 20,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/4/1;1639 17 fevr;;11;26 x 18,9;Cordelette  rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/4/2;1639 13 7bre;;1;23,8 x 18;Cordelette  rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/5;1639 21 fevr;;1;25,5 x 20,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/6;1639 7 mars;;4;31,5 x 20,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/7;1639 16 mars;;1;25,8 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/8;1739 mars 28;;2;21,8 x 17;Cachet de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/9/1;1639 28 mars;;1;14,8 x 20;Lien de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/9/2;1639 31 mars;;1;26,5 x 19,7;Lien de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/10;1639 6 avril;;2;25,5 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/11;1639 8 avril;;2;31,3 x 20,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/12;1639 19 avril;;2;25,3 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/13;1639 19 avril;;2;24 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/14;1639 20 avril;;6;25,8 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/15;1639 26 avril;;2;25,7 x 20,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/16;1639 mai 6;;6;25,3 x 18,4;Aur‚oles, papier trŠs fragile, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/17;1639 7 mai;;4;33 x 22;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/18;1639 7 mai;;8;29,8 x 21,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/19;1639 9 mai;;1;24 x 18,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/20;1639 13 mai;;2;25,5 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/21;1639 mai 14;;2;20,9 x 15,4;Cachet de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/22;1639 mai 24;;1;17,3 x 13;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/23;1639 mai 25;;1;30,9 x 21,4;Cachets de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/24;1639 mai 29;;2;28,1 x 20,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/25;1639 mai 31;;2;28,1 x 20,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/26/1;1639 30 mai;;1;25,7 x 18;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/26/2;1639 31 mai;;1;25,7 x 18,1;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/26/3;1639 1er juin;;1;25,5 x 18;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/26/4;1639 3 juin;;1;25,3 x 18,2;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/27;31 mai 1639;;1;18,1 x 25,5;Parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/28;1639 mai 31;;2;20,3 x 13,9;Cachets de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/29;1639 juin 12;;1;33,5 x 20,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/30/1;1639 15 juin;;2;25,3 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/30/2;1639 25 mai;;2;25,3 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/30/3;1639 13 9bre;;2;24,2 x 17,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/31;20 juin 1639;;6;24,4 x 17,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/32;1639_20 Juin;;12;25,5 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/33;1639 22 juin;;2;24,8 x 17,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/34;1639 28 juin;;1;25,2 x 18,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/35/1;1639 13 Juillet;;2;25,3 x 18,1;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/35/2;1646_13 fevrier;;6;25,2 x 18,2;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/35/3;1652 6 avril;;1;15,8 x 17,7;Ficelle (avant), parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/35/4;1652 6 avril;;1;25,3 x 18,9;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/35/5;1652 14 avril;;2;25,3 x 18,4;Ficelle (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/36;1639 16 Juillet;;2;25 x 17,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/37;1639 juillet 17;;2;19,9 x 14;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/38/1;1639 2 aout;;2;24,9 x 18,5;Cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/38/2;1639 3 aout;;1;24,8 x 18,5;Cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/38/3;1639 7 aout;;2;26 x 19,8;Cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/38/4;1639 19 aout;;2;24,8 x 18,6;Cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/38/5;1639 14 7bre;;2;25,1 x 18,6;Cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/39;1639 11 aout;;2;25,2 x 18,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/40;1639 16 aout;;4;25,5 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/41/1;1639 16 aout;;2;27,2 x 19,8;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/41/2;16 aout 1639;;2;24,2 x 17,9;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/41/3;1640 19 mars;;2;27,3 x 20;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/32/42;19 mars 1640;;2;24,2 x 17,5;;;;;;;;;;;;;;;;;;;
